キャラクター案,能力,障害,能力と障害の関係性
案1,一度見たものを完璧に記憶する,過去の嫌な記憶やトラウマも一切忘れられない,記憶を「忘れる」ことによる精神の防衛機能が欠如している
案2,超人的な歌声で人を魅了する,自身の歌声を聞くことができない重度の難聴,最も美しいものを生み出す本人が、それを享受できないという皮肉
案3,触れた物体の過去の記憶を読み取る（サイコメトリー）,他人の強い感情に触れすぎると、自分の感情が希薄になる,他者の情報を取り込む代償として、自己の情報が薄れていく
案4,短時間、体を鋼鉄のように硬化できる,硬化していない時は、人より肌が敏感で傷つきやすい,強さの反動として、通常時の脆弱性が増している
案5,動物と意思疎通ができる,人間とのコミュニケーションが苦手（吃音など）,コミュニケーション能力が特定の対象に特化し、汎用性を失っている
案6,描いた絵を短時間だけ実体化させる,特定の色を認識できない色覚異常を持つ,創造する力と、それを認識する力が一致しない不完全さ
案7,短距離のテレポートができる,空間識失調があり、頻繁に方向感覚を失う,空間を跳躍する能力の代償として、基本的な空間認識能力が低い
案8,他人の嘘を完全に見抜くことができる,他人の本音（悪意・下心）も聞こえてしまい、人間不信に陥っている,真実を知る能力が、他者を信じる心を奪っていく
案9,植物の成長を促進させることができる,日光を浴びないと極端に体力が落ちる,植物のエネルギーを操るため、自身も植物に近い性質を帯びている
案10,小さな火を自在に起こせる,常に体温が低く、慢性的な冷え性,熱を外部に出力する能力のため、自身の熱を保つことができない
