Deck,Average Win Rate,[meta] ゲッコウガ (ID管理構成),[meta] 真・究極オノノクス (安定型),[meta] 究極オノノクス・アイリス,[experimental] メガアブソルex・リーシャン (ロック加速型),[experimental] メガアブソルex ディザスター,[experimental] リーシャン グッズロック妨害,[energy_accel] ピカチュウex Tier-1 (ID管理),[energy_accel] water_axis_121_v1,[energy_accel] water_axis_121_v2,[evolve_power] dragon_axis_149_v1,[evolve_power] dragon_axis_149_v2,[evolve_power] dragon_axis_149_v3,[gimmick] colorless_axis_143_v1,[gimmick] colorless_axis_143_v2,[gimmick] colorless_axis_143_v3,[hand_dest] ヘルガー・マーズ 絶望のハンデス,[one_shot] fire_axis_146_v1,[one_shot] fire_axis_146_v2,[one_shot] fire_axis_146_v3,[sleep] ダークライ 漆黒の眠り,[sleep] dark_axis_10359_v1,[sleep] dark_axis_10359_v2,[アブソルex] アブソルex 軸,[サンダーex] サンダーex 軸,[ダークライex] ダークライex 軸,[ピカチュウex] ピカチュウex 軸,[メガアブソルex] メガアブソルex 軸,[experimental] ダークライex 加速アグロ,[experimental] メガライボルトex スピードターボ,[experimental] ゲッコウガ 特性特化 (水エネ0枚)
[meta] ゲッコウガ (ID管理構成),57.1%,-,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,ERR,100.0%
[meta] 真・究極オノノクス (安定型),72.9%,100.0%,-,46.4%,36.7%,50.0%,56.7%,46.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,41.4%,100.0%,100.0%,23.1%,40.0%,0.0%,41.9%,15.8%,43.5%,ERR,100.0%
[meta] 究極オノノクス・アイリス,70.0%,100.0%,60.0%,-,18.8%,38.1%,72.7%,21.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,33.3%,100.0%,100.0%,10.7%,24.2%,0.0%,17.2%,37.0%,27.6%,ERR,100.0%
[experimental] メガアブソルex・リーシャン (ロック加速型),63.8%,100.0%,3.4%,0.0%,-,5.9%,82.1%,18.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,26.7%,100.0%,100.0%,6.7%,3.0%,0.0%,7.7%,0.0%,32.0%,ERR,100.0%
[experimental] メガアブソルex ディザスター,79.0%,100.0%,0.0%,0.0%,87.5%,-,100.0%,82.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,66.7%,100.0%,100.0%,14.3%,38.5%,25.9%,47.8%,52.9%,94.4%,ERR,100.0%
[experimental] リーシャン グッズロック妨害,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,ERR,0.0%
[energy_accel] ピカチュウex Tier-1 (ID管理),75.5%,100.0%,14.7%,6.1%,80.6%,12.5%,100.0%,-,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,48.6%,100.0%,100.0%,21.9%,59.5%,50.0%,20.0%,21.9%,78.1%,ERR,100.0%
[energy_accel] water_axis_121_v1,23.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,54.0%,54.0%,50.0%,42.0%,50.0%,64.0%,42.0%,54.0%,58.0%,50.0%,52.0%,0.0%,54.0%,40.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,ERR,0.0%
[energy_accel] water_axis_121_v2,22.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,62.0%,-,34.0%,48.0%,50.0%,42.0%,56.0%,46.0%,50.0%,50.0%,50.0%,48.0%,0.0%,52.0%,48.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,ERR,0.0%
[evolve_power] dragon_axis_149_v1,23.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,54.0%,44.0%,-,62.0%,52.0%,42.0%,60.0%,50.0%,52.0%,50.0%,54.0%,60.0%,0.0%,38.0%,38.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,ERR,0.0%
[evolve_power] dragon_axis_149_v2,22.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,42.0%,44.0%,-,56.0%,50.0%,46.0%,44.0%,56.0%,54.0%,50.0%,62.0%,0.0%,46.0%,38.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,ERR,0.0%
[evolve_power] dragon_axis_149_v3,22.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,42.0%,52.0%,48.0%,46.0%,-,52.0%,46.0%,46.0%,38.0%,52.0%,46.0%,70.0%,0.0%,46.0%,44.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,ERR,0.0%
