id,name,type,card_type,hp,stage,evolves_from,ability,effect,attack1_name,attack1_cost,attack1_damage,attack1_effect,attack2_name,attack2_cost,attack2_damage,attack2_effect,description
1,未設定ポケモン_1,,Pokemon,,,,,,,,,,,,,,
2,未設定ポケモン_2,,Pokemon,,,,,,,,,,,,,,
3,未設定ポケモン_3,,Pokemon,,,,,,,,,,,,,,
4,未設定ポケモン_4,,Pokemon,,,,,,,,,,,,,,
5,未設定ポケモン_5,,Pokemon,,,,,,,,,,,,,,
6,未設定ポケモン_6,,Pokemon,,,,,,,,,,,,,,
7,未設定ポケモン_7,,Pokemon,,,,,,,,,,,,,,
8,未設定ポケモン_8,,Pokemon,,,,,,,,,,,,,,
9,未設定ポケモン_9,,Pokemon,,,,,,,,,,,,,,
10,未設定ポケモン_10,,Pokemon,,,,,,,,,,,,,,
11,未設定ポケモン_11,,Pokemon,,,,,,,,,,,,,,
12,未設定ポケモン_12,,Pokemon,,,,,,,,,,,,,,
13,未設定ポケモン_13,,Pokemon,,,,,,,,,,,,,,
14,未設定ポケモン_14,,Pokemon,,,,,,,,,,,,,,
15,未設定ポケモン_15,,Pokemon,,,,,,,,,,,,,,
16,未設定ポケモン_16,,Pokemon,,,,,,,,,,,,,,
17,未設定ポケモン_17,,Pokemon,,,,,,,,,,,,,,
18,未設定ポケモン_18,,Pokemon,,,,,,,,,,,,,,
19,未設定ポケモン_19,,Pokemon,,,,,,,,,,,,,,
20,未設定ポケモン_20,,Pokemon,,,,,,,,,,,,,,
21,未設定ポケモン_21,,Pokemon,,,,,,,,,,,,,,
22,未設定ポケモン_22,,Pokemon,,,,,,,,,,,,,,
23,未設定ポケモン_23,,Pokemon,,,,,,,,,,,,,,
24,未設定ポケモン_24,,Pokemon,,,,,,,,,,,,,,
25,ピカチュウex,Lightning,Pokemon,120,0,,,,エレキサークル,2,90,,,,,,
26,未設定ポケモン_26,,Pokemon,,,,,,,,,,,,,,
27,未設定ポケモン_27,,Pokemon,,,,,,,,,,,,,,
28,未設定ポケモン_28,,Pokemon,,,,,,,,,,,,,,
29,未設定ポケモン_29,,Pokemon,,,,,,,,,,,,,,
30,未設定ポケモン_30,,Pokemon,,,,,,,,,,,,,,
